x,y,fitness,x position,y velocity
61,44,-202.02451679855434,0.33,-1.68
70,83,-460.80482383573303,0.6,-0.51
50,99,-206.40082360283634,0.0,-0.03
58,38,-150.38424474197183,0.24,-1.86
60,33,-363.3410601003972,0.3,-2.01
46,46,-64.7620590251084,-0.12,-1.62
57,40,-119.81100562775342,0.21,-1.8
62,94,-566.8918844238798,0.36,-0.18
56,40,-229.30738075361006,0.18,-1.8
59,39,-276.0474464109464,0.27,-1.83
56,43,-149.53304966886935,0.18,-1.71
59,37,-147.8124386132939,0.27,-1.89
59,67,-107.50515418121788,0.27,-0.99
56,39,-169.32168429062915,0.18,-1.83
60,34,-344.76086290106304,0.3,-1.98
66,48,-253.03958782626583,0.48,-1.56
